Company,Date,Tweet
$HD,11/27/18,"As Bce $BCE Valuation Declined, Shareholder Pittenger &amp; Anderson Has Cut Position; Barrett Asset Management Has Booâ€¦ https://t.co/GeMACXPao0"
$HD,11/27/18,Park National Boosted Its Estee Lauder Companies Cla $EL Position by $1.51 Million; Share Price Declined; As Home Dâ€¦ https://t.co/t5oQ6XN7OM
$HD,11/27/18,$low goes higher today! $hd $spx https://t.co/KiocEFFDDL
$HD,11/27/18,We  called out $ASNS today at $1.50 and it made a very nice move. Many chat members banked on this alert! Get overâ€¦ https://t.co/0uMXZ6JO2f
$HD,11/27/18,RT @everytimeicash: PSA for this Holiday Season @1simpletrader $SPY $DIA $QQQ $IWM $AMZN $AAPL $FB $TSLA $NFLX $NVDA $HD $BA $ADBE https://â€¦
$HD,11/27/18,RT @SeekingAlpha: $DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/TI2iyH0kVO
$HD,11/27/18,Watch $HD https://t.co/EaakdHKlIG
$HD,11/27/18,"Alta Capital Management Boosted Its Home Depot $HD Holding; Avalon Advisors Boosted Heico $HEI Stake By $609,984 https://t.co/8vJM60WWvY"
$HD,11/27/18,"An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/hkduwCsrrk $DHI, $HD, $ITB, $KBH,â€¦ https://t.co/Apj20OwIMY"
$HD,11/27/18,$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/TI2iyH0kVO
$HD,11/27/18,$HD Max Pain=157.50. Maturity=11/30/2018. #maxpain #options https://t.co/wlqVtxkWeU https://t.co/LjHdA1fu3D
$HD,11/27/18,ðŸ’¹ðŸ’¶ðŸ’² #BullMarket ðŸ‚ https://t.co/kkk429PEe4 ðŸ– #2019shift #StockMarketToday ðŸ» #BearMarket ðŸ» #StockMarketCrash ðŸ’°â€¦ https://t.co/XKRbnMPRr0
